Paragraph,Characters,Character Bucket,Words,Word Bucket,Sentiment,Line
4,229,226-250,40,036-040,0.05,"Neither my father nor I ever knew what our hereditary envelope had contained, and as I merged into the greyness of Massachusetts business life I lost all interest in the mysteries which evidently lurked far back in my family tree"
4,102,101-125,19,016-020,-0.05263157894736842,"Had I suspected their nature, how gladly I would have left Exham Priory to its moss, bats, and cobwebs"
5,113,101-125,23,021-025,-0.17391304347826086,"My father died in 1904, but without any message to leave me, or to my only child, Alfred, a motherless boy of ten"
5,256,251-275,46,046-050,-0.021739130434782608,"It was this boy who reversed the order of family information; for although I could give him only jesting conjectures about the past, he wrote me of some very interesting ancestral legends when the late war took him to England in 1917 as an aviation officer"
5,101,101-125,17,016-020,-0.058823529411764705,"Apparently the Delapores had a colourful and perhaps sinister history, for a friend of my son’s, Capt"
5,182,176-200,28,026-030,0,"Edward Norrys of the Royal Flying Corps, dwelt near the family seat at Anchester and related some peasant superstitions which few novelists could equal for wildness and incredibility"
5,123,101-125,23,021-025,-0.2608695652173913,"Norrys himself, of course, did not take them seriously; but they amused my son and made good material for his letters to me"
5,313,more,52,051-055,0.09615384615384616,"It was this legendry which definitely turned my attention to my transatlantic heritage, and made me resolve to purchase and restore the family seat which Norrys shewed to Alfred in its picturesque desertion, and offered to get for him at a surprisingly reasonable figure, since his own uncle was the present owner"
6,141,126-150,26,026-030,-0.038461538461538464,"I bought Exham Priory in 1918, but was almost immediately distracted from my plans of restoration by the return of my son as a maimed invalid"
6,132,126-150,24,021-025,0.16666666666666666,"During the two years that he lived I thought of nothing but his care, having even placed my business under the direction of partners"
6,151,151-175,26,026-030,-0.038461538461538464,"In 1921, as I found myself bereaved and aimless, a retired manufacturer no longer young, I resolved to divert my remaining years with my new possession"
6,57,051-075,9,009-010,0.2222222222222222,"Visiting Anchester in December, I was entertained by Capt"
6,161,151-175,28,026-030,0.17857142857142858,"Norrys, a plump, amiable young man who had thought much of my son, and secured his assistance in gathering plans and anecdotes to guide in the coming restoration"
6,266,251-275,42,041-045,-0.07142857142857142,"Exham Priory itself I saw without emotion, a jumble of tottering mediaeval ruins covered with lichens and honeycombed with rooks’ nests, perched perilously upon a precipice, and denuded of floors or other interior features save the stone walls of the separate towers"
7,165,151-175,30,026-030,0,"As I gradually recovered the image of the edifice as it had been when my ancestor left it over three centuries before, I began to hire workmen for the reconstruction"
7,148,126-150,26,026-030,-0.2692307692307692,"In every case I was forced to go outside the immediate locality, for the Anchester villagers had an almost unbelievable fear and hatred of the place"
7,193,176-200,30,026-030,0.1,"This sentiment was so great that it was sometimes communicated to the outside labourers, causing numerous desertions; whilst its scope appeared to include both the priory and its ancient family"
8,217,201-225,43,041-045,0.046511627906976744,"My son had told me that he was somewhat avoided during his visits because he was a de la Poer, and I now found myself subtly ostracised for a like reason until I convinced the peasants how little I knew of my heritage"
8,124,101-125,22,021-025,-0.09090909090909091,"Even then they sullenly disliked me, so that I had to collect most of the village traditions through the mediation of Norrys"
8,208,201-225,38,036-040,0.07894736842105263,"What the people could not forgive, perhaps, was that I had come to restore a symbol so abhorrent to them; for, rationally or not, they viewed Exham Priory as nothing less than a haunt of fiends and werewolves"
9,301,more,48,046-050,-0.041666666666666664,"Piecing together the tales which Norrys collected for me, and supplementing them with the accounts of several savants who had studied the ruins, I deduced that Exham Priory stood on the site of a prehistoric temple; a Druidical or ante-Druidical thing which must have been contemporary with Stonehenge"
9,187,176-200,28,026-030,0.03571428571428571,"That indescribable rites had been celebrated there, few doubted; and there were unpleasant tales of the transference of these rites into the Cybele-worship which the Romans had introduced"
9,83,076-010,12,011-015,-0.25,"Inscriptions still visible in the sub-cellar bore such unmistakable letters as “DIV"
9,3,000-010,1,000-002,0,"OPS"
9,5,000-010,1,000-002,0,"MAGNA"
9,3,000-010,1,000-002,0,"MAT"
9,88,076-010,16,016-020,0,"” sign of the Magna Mater whose dark worship was once vainly forbidden to Roman citizens"
9,236,226-250,40,036-040,0.075,"Anchester had been the camp of the third Augustan legion, as many remains attest, and it was said that the temple of Cybele was splendid and thronged with worshippers who performed nameless ceremonies at the bidding of a Phrygian priest"
9,150,126-150,30,026-030,-0.2,"Tales added that the fall of the old religion did not end the orgies at the temple, but that the priests lived on in the new faith without real change"
9,270,251-275,48,046-050,0.020833333333333332,"Likewise was it said that the rites did not vanish with the Roman power, and that certain among the Saxons added to what remained of the temple, and gave it the essential outline it subsequently preserved, making it the centre of a cult feared through half the heptarchy"
9,12,011-025,3,003-005,0,"About 1000 A"
9,1,000-010,1,000-002,0,"D"
9,210,201-225,34,031-035,0.20588235294117646,"the place is mentioned in a chronicle as being a substantial stone priory housing a strange and powerful monastic order and surrounded by extensive gardens which needed no walls to exclude a frightened populace"
9,236,226-250,41,041-045,0.04878048780487805,"It was never destroyed by the Danes, though after the Norman Conquest it must have declined tremendously; since there was no impediment when Henry the Third granted the site to my ancestor, Gilbert de la Poer, First Baron Exham, in 1261"
10,100,076-010,18,016-020,0.2222222222222222,"Of my family before this date there is no evil report, but something strange must have happened then"
10,226,226-250,45,041-045,-0.13333333333333333,"In one chronicle there is a reference to a de la Poer as “cursed of God” in 1307, whilst village legendry had nothing but evil and frantic fear to tell of the castle that went up on the foundations of the old temple and priory"
10,134,126-150,20,016-020,-0.25,"The fireside tales were of the most grisly description, all the ghastlier because of their frightened reticence and cloudy evasiveness"
10,264,251-275,40,036-040,0.025,"They represented my ancestors as a race of hereditary daemons beside whom Gilles de Retz and the Marquis de Sade would seem the veriest tyros, and hinted whisperingly at their responsibility for the occasional disappearance of villagers through several generations"
11,114,101-125,18,016-020,-0.16666666666666666,"The worst characters, apparently, were the barons and their direct heirs; at least, most was whispered about these"
11,126,126-150,22,021-025,-0.13636363636363635,"If of healthier inclinations, it was said, an heir would early and mysteriously die to make way for another more typical scion"
11,132,126-150,26,026-030,0,"There seemed to be an inner cult in the family, presided over by the head of the house, and sometimes closed except to a few members"
11,128,126-150,22,021-025,-0.09090909090909091,"Temperament rather than ancestry was evidently the basis of this cult, for it was entered by several who married into the family"
11,248,226-250,42,041-045,-0.023809523809523808,"Lady Margaret Trevor from Cornwall, wife of Godfrey, the second son of the fifth baron, became a favourite bane of children all over the countryside, and the daemon heroine of a particularly horrible old ballad not yet extinct near the Welsh border"
11,328,more,60,056-060,-0.016666666666666666,"Preserved in balladry, too, though not illustrating the same point, is the hideous tale of Lady Mary de la Poer, who shortly after her marriage to the Earl of Shrewsfield was killed by him and his mother, both of the slayers being absolved and blessed by the priest to whom they confessed what they dared not repeat to the world"
12,88,076-010,14,011-015,-0.2857142857142857,"These myths and ballads, typical as they were of crude superstition, repelled me greatly"
12,377,more,60,056-060,-0.1,"Their persistence, and their application to so long a line of my ancestors, were especially annoying; whilst the imputations of monstrous habits proved unpleasantly reminiscent of the one known scandal of my immediate forbears—the case of my cousin, young Randolph Delapore of Carfax, who went among the natives and became a voodoo priest after he returned from the Mexican War"
13,380,more,71,more,-0.09859154929577464,"I was much less disturbed by the vaguer tales of wails and howlings in the barren, windswept valley beneath the limestone cliff; of the graveyard stenches after the spring rains; of the floundering, squealing white thing on which Sir John Clave’s horse had trod one night in a lonely field; and of the servant who had gone mad at what he saw in the priory in the full light of day"
13,86,076-010,15,011-015,-0.13333333333333333,"These things were hackneyed spectral lore, and I was at that time a pronounced sceptic"
13,122,101-125,19,016-020,-0.05263157894736842,"The accounts of vanished peasants were less to be dismissed, though not especially significant in view of mediaeval custom"
13,132,126-150,20,016-020,-0.1,"Prying curiosity meant death, and more than one severed head had been publicly shewn on the bastions—now effaced—around Exham Priory"
14,120,101-125,22,021-025,0.13636363636363635,"A few of the tales were exceedingly picturesque, and made me wish I had learnt more of comparative mythology in my youth"
14,239,226-250,36,036-040,-0.05555555555555555,"There was, for instance, the belief that a legion of bat-winged devils kept Witches’ Sabbath each night at the priory—a legion whose sustenance might explain the disproportionate abundance of coarse vegetables harvested in the vast gardens"
14,364,more,63,more,-0.09523809523809523,"And, most vivid of all, there was the dramatic epic of the rats—the scampering army of obscene vermin which had burst forth from the castle three months after the tragedy that doomed it to desertion—the lean, filthy, ravenous army which had swept all before it and devoured fowl, cats, dogs, hogs, sheep, and even two hapless human beings before its fury was spent"
14,164,151-175,27,026-030,-0.07407407407407407,"Around that unforgettable rodent army a whole separate cycle of myths revolves, for it scattered among the village homes and brought curses and horrors in its train"
15,128,126-150,23,021-025,0.043478260869565216,"Such was the lore that assailed me as I pushed to completion, with an elderly obstinacy, the work of restoring my ancestral home"
15,99,076-010,16,016-020,-0.125,"It must not be imagined for a moment that these tales formed my principal psychological environment"
15,66,076-010,12,011-015,0.4166666666666667,"On the other hand, I was constantly praised and encouraged by Capt"
15,55,051-075,9,009-010,0,"Norrys and the antiquarians who surrounded and aided me"
15,248,226-250,38,036-040,0.10526315789473684,"When the task was done, over two years after its commencement, I viewed the great rooms, wainscotted walls, vaulted ceilings, mullioned windows, and broad staircases with a pride which fully compensated for the prodigious expense of the restoration"
15,136,126-150,21,021-025,0.14285714285714285,"Every attribute of the Middle Ages was cunningly reproduced, and the new parts blended perfectly with the original walls and foundations"
15,123,101-125,25,021-025,0.12,"The seat of my fathers was complete, and I looked forward to redeeming at last the local fame of the line which ended in me"
15,140,126-150,28,026-030,0.03571428571428571,"I would reside here permanently, and prove that a de la Poer (for I had adopted again the original spelling of the name) need not be a fiend"
15,179,176-200,31,031-035,0.06451612903225806,"My comfort was perhaps augmented by the fact that, although Exham Priory was mediaevally fitted, its interior was in truth wholly new and free from old vermin and old ghosts alike"
16,43,051-075,11,011-015,0,"As I have said, I moved in on July 16, 1923"
16,102,101-125,17,016-020,0.11764705882352941,"My household consisted of seven servants and nine cats, of which latter species I am particularly fond"
16,158,151-175,28,026-030,0.07142857142857142,"My eldest cat, 'Tiddles', was seven years old and had come with me from my home in Bolton, Massachusetts; the others I had accumulated whilst living with Capt"
16,51,051-075,8,006-008,0.125,"Norrys’ family during the restoration of the priory"
16,128,126-150,22,021-025,0,"For five days our routine proceeded with the utmost placidity, my time being spent mostly in the codification of old family data"
16,203,201-225,37,036-040,-0.1891891891891892,"I had now obtained some very circumstantial accounts of the final tragedy and flight of Walter de la Poer, which I conceived to be the probable contents of the hereditary paper lost in the fire at Carfax"
16,374,more,61,more,-0.14754098360655737,"It appeared that my ancestor was accused with much reason of having killed all the other members of his household, except four servant confederates, in their sleep, about two weeks after a shocking discovery which changed his whole demeanour, but which, except by implication, he disclosed to no one save perhaps the servants who assisted him and afterward fled beyond reach"
17,324,more,50,046-050,-0.04,"This deliberate slaughter, which included a father, three brothers, and two sisters, was largely condoned by the villagers, and so slackly treated by the law that its perpetrator escaped honoured, unharmed, and undisguised to Virginia; the general whispered sentiment being that he had purged the land of an immemorial curse"
17,80,076-010,13,011-015,0,"What discovery had prompted an act so terrible, I could scarcely even conjecture"
17,140,126-150,26,026-030,-0.11538461538461539,"Walter de la Poer must have known for years the sinister tales about his family, so that this material could have given him no fresh impulse"
17,135,126-150,22,021-025,-0.09090909090909091,"Had he, then, witnessed some appalling ancient rite, or stumbled upon some frightful and revealing symbol in the priory or its vicinity"
17,58,051-075,12,011-015,0.16666666666666666,"He was reputed to have been a shy, gentle youth in England"
17,77,076-010,14,011-015,0.5714285714285714,"In Virginia he seemed not so much hard or bitter as harassed and apprehensive"
17,143,126-150,23,021-025,0,"He was spoken of in the diary of another gentleman-adventurer, Francis Harley of Bellview, as a man of unexampled justice, honour, and delicacy"
18,149,126-150,24,021-025,-0.041666666666666664,"On July 22 occurred the first incident which, though lightly dismissed at the time, takes on a preternatural significance in relation to later events"
18,324,more,55,051-055,-0.01818181818181818,"It was so simple as to be almost negligible, and could not possibly have been noticed under the circumstances; for it must be recalled that since I was in a building practically fresh and new except for the walls, and surrounded by a well-balanced staff of servitors, apprehension would have been absurd despite the locality"
18,189,176-200,33,031-035,-0.06060606060606061,"What I afterward remembered is merely this—that my old black cat, whose moods I know so well, was undoubtedly alert and anxious to an extent wholly out of keeping with his natural character"
18,136,126-150,23,021-025,-0.08695652173913043,"He roved from room to room, restless and disturbed, and sniffed constantly about the walls which formed part of the old Gothic structure"
18,175,151-175,28,026-030,-0.03571428571428571,"I realise how trite this sounds—like the inevitable dog in the ghost story, which always growls before his master sees the sheeted figure—yet I cannot consistently suppress it"
19,86,076-010,15,011-015,-0.26666666666666666,"The following day a servant complained of restlessness among all the cats in the house"
19,338,more,61,more,-0.01639344262295082,"He came to me in my study, a lofty west room on the second story, with groined arches, black oak panelling, and a triple Gothic window overlooking the limestone cliff and desolate valley; and even as he spoke I saw the jetty form of Nigger-Man creeping along the west wall and scratching at the new panels which overlaid the ancient stone"
19,193,176-200,33,031-035,0.15151515151515152,"I told the man that there must be some singular odour or emanation from the old stonework, imperceptible to human senses, but affecting the delicate organs of cats even through the new woodwork"
19,293,more,54,051-055,0,"This I truly believed, and when the fellow suggested the presence of mice or rats, I mentioned that there had been no rats there for three hundred years, and that even the field mice of the surrounding country could hardly be found in these high walls, where they had never been known to stray"
19,31,026-050,6,006-008,0,"That afternoon I called on Capt"
19,138,126-150,25,021-025,-0.08,"Norrys, and he assured me that it would be quite incredible for field mice to infest the priory in such a sudden and unprecedented fashion"
20,229,226-250,40,036-040,0.05,"That night, dispensing as usual with a valet, I retired in the west tower chamber which I had chosen as my own, reached from the study by a stone staircase and short gallery—the former partly ancient, the latter entirely restored"
20,118,101-125,20,016-020,0,"This room was circular, very high, and without wainscotting, being hung with arras which I had myself chosen in London"
20,298,more,50,046-050,0,"Seeing that Nigger-Man was with me, I shut the heavy Gothic door and retired by the light of the electric bulbs which so cleverly counterfeited candles, finally switching off the light and sinking on the carved and canopied four-poster, with the venerable cat in his accustomed place across my feet"
20,83,076-010,17,016-020,0,"I did not draw the curtains, but gazed out at the narrow north window which I faced"
20,112,101-125,19,016-020,0,"There was a suspicion of aurora in the sky, and the delicate traceries of the window were pleasantly silhouetted"
21,160,151-175,28,026-030,-0.17857142857142858,"At some time I must have fallen quietly asleep, for I recall a distinct sense of leaving strange dreams, when the cat started violently from his placid position"
21,114,101-125,21,021-025,0,"I saw him in the faint auroral glow, head strained forward, fore feet on my ankles, and hind feet stretched behind"
21,175,151-175,35,031-035,0.02857142857142857,"He was looking intensely at a point on the wall somewhat west of the window, a point which to my eye had nothing to mark it, but toward which all my attention was now directed"
21,63,076-010,12,011-015,-0.25,"And as I watched, I knew that Nigger-Man was not vainly excited"
21,45,051-075,8,006-008,0,"Whether the arras actually moved I cannot say"
21,29,026-050,6,006-008,0,"I think it did, very slightly"
21,94,076-010,21,021-025,-0.09523809523809523,"But what I can swear to is that behind it I heard a low, distinct scurrying as of rats or mice"
21,252,251-275,45,041-045,0.044444444444444446,"In a moment the cat had jumped bodily on the screening tapestry, bringing the affected section to the floor with his weight, and exposing a damp, ancient wall of stone; patched here and there by the restorers, and devoid of any trace of rodent prowlers"
21,172,151-175,33,031-035,-0.06060606060606061,"Nigger-Man raced up and down the floor by this part of the wall, clawing the fallen arras and seemingly trying at times to insert a paw between the wall and the oaken floor"
21,79,076-010,15,011-015,0,"He found nothing, and after a time returned wearily to his place across my feet"
21,53,051-075,12,011-015,0,"I had not moved, but I did not sleep again that night"
22,189,176-200,34,031-035,0.11764705882352941,"In the morning I questioned all the servants, and found that none of them had noticed anything unusual, save that the cook remembered the actions of a cat which had rested on her windowsill"
22,153,151-175,31,031-035,0,"This cat had howled at some unknown hour of the night, awaking the cook in time for her to see him dart purposefully out of the open door down the stairs"
22,70,076-010,13,011-015,0,"I drowsed away the noontime, and in the afternoon called again on Capt"
22,60,051-075,10,009-010,0.1,"Norrys, who became exceedingly interested in what I told him"
22,154,151-175,25,021-025,-0.08,"The odd incidents—so slight yet so curious—appealed to his sense of the picturesque, and elicited from him a number of reminiscences of local ghostly lore"
22,170,151-175,30,026-030,-0.1,"We were genuinely perplexed at the presence of rats, and Norrys lent me some traps and Paris green, which I had the servants place in strategic localities when I returned"
23,88,076-010,16,016-020,-0.3125,"I retired early, being very sleepy, but was harassed by dreams of the most horrible sort"
23,247,226-250,40,036-040,-0.075,"I seemed to be looking down from an immense height upon a twilit grotto, knee-deep with filth, where a white-bearded daemon swineherd drove about with his staff a flock of fungous, flabby beasts whose appearance filled me with unutterable loathing"
23,155,151-175,29,026-030,-0.06896551724137931,"Then, as the swineherd paused and nodded over his task, a mighty swarm of rats rained down on the stinking abyss and fell to devouring beasts and man alike"
24,123,101-125,22,021-025,0.22727272727272727,"From this terrific vision I was abruptly awaked by the motions of Nigger-Man, who had been sleeping as usual across my feet"
24,289,more,52,051-055,0.038461538461538464,"This time I did not have to question the source of his snarls and hisses, and of the fear which made him sink his claws into my ankle, unconscious of their effect; for on every side of the chamber the walls were alive with nauseous sound—the verminous slithering of ravenous, gigantic rats"
24,152,151-175,29,026-030,0.1724137931034483,"There was now no aurora to shew the state of the arras—the fallen section of which had been replaced—but I was not too frightened to switch on the light"
25,154,151-175,27,026-030,-0.18518518518518517,"As the bulbs leapt into radiance I saw a hideous shaking all over the tapestry, causing the somewhat peculiar designs to execute a singular dance of death"
25,61,051-075,11,011-015,-0.09090909090909091,"This motion disappeared almost at once, and the sound with it"
25,145,126-150,28,026-030,0.03571428571428571,"Springing out of bed, I poked at the arras with the long handle of a warming-pan that rested near, and lifted one section to see what lay beneath"
25,115,101-125,20,016-020,-0.25,"There was nothing but the patched stone wall, and even the cat had lost his tense realisation of abnormal presences"
25,168,151-175,32,031-035,0,"When I examined the circular trap that had been placed in the room, I found all of the openings sprung, though no trace remained of what had been caught and had escaped"
26,171,151-175,32,031-035,0,"Further sleep was out of the question, so, lighting a candle, I opened the door and went out in the gallery toward the stairs to my study, Nigger-Man following at my heels"
26,111,101-125,20,016-020,0.05,"Before we had reached the stone steps, however, the cat darted ahead of me and vanished down the ancient flight"
26,139,126-150,26,026-030,0.23076923076923078,"As I descended the stairs myself, I became suddenly aware of sounds in the great room below; sounds of a nature which could not be mistaken"
26,137,126-150,22,021-025,0.045454545454545456,"The oak-panelled walls were alive with rats, scampering and milling, whilst Nigger-Man was racing about with the fury of a baffled hunter"
26,96,076-010,18,016-020,0.05555555555555555,"Reaching the bottom, I switched on the light, which did not this time cause the noise to subside"
26,140,126-150,22,021-025,-0.13636363636363635,"The rats continued their riot, stampeding with such force and distinctness that I could finally assign to their motions a definite direction"
26,172,151-175,22,021-025,0.045454545454545456,"These creatures, in numbers apparently inexhaustible, were engaged in one stupendous migration from inconceivable heights to some depth conceivably, or inconceivably, below"
27,98,076-010,18,016-020,0,"I now heard steps in the corridor, and in another moment two servants pushed open the massive door"
27,252,251-275,42,041-045,-0.16666666666666666,"They were searching the house for some unknown source of disturbance which had thrown all the cats into a snarling panic and caused them to plunge precipitately down several flights of stairs and squat, yowling, before the closed door to the sub-cellar"
27,73,076-010,15,011-015,-0.13333333333333333,"I asked them if they had heard the rats, but they replied in the negative"
27,107,101-125,21,021-025,0,"And when I turned to call their attention to the sounds in the panels, I realised that the noise had ceased"
27,97,076-010,19,016-020,0,"With the two men, I went down to the door of the sub-cellar, but found the cats already dispersed"
27,99,076-010,20,016-020,0.1,"Later I resolved to explore the crypt below, but for the present I merely made a round of the traps"
27,40,026-050,7,006-008,0,"All were sprung, yet all were tenantless"
27,214,201-225,37,036-040,0.08108108108108109,"Satisfying myself that no one had heard the rats save the felines and me, I sat in my study till morning; thinking profoundly, and recalling every scrap of legend I had unearthed concerning the building I inhabited"
28,134,126-150,23,021-025,0.17391304347826086,"I slept some in the forenoon, leaning back in the one comfortable library chair which my mediaeval plan of furnishing could not banish"
28,26,026-050,5,003-005,0,"Later I telephoned to Capt"
28,58,051-075,10,009-010,0.3,"Norrys, who came over and helped me explore the sub-cellar"
28,135,126-150,23,021-025,-0.21739130434782608,"Absolutely nothing untoward was found, although we could not repress a thrill at the knowledge that this vault was built by Roman hands"
28,289,more,45,041-045,0.06666666666666667,"Every low arch and massive pillar was Roman—not the debased Romanesque of the bungling Saxons, but the severe and harmonious classicism of the age of the Caesars; indeed, the walls abounded with inscriptions familiar to the antiquarians who had repeatedly explored the place—things like “P"
28,5,000-010,1,000-002,0,"GETAE"
28,4,000-010,1,000-002,0,"PROP"
28,4,000-010,1,000-002,0,"TEMP"
28,4,000-010,1,000-002,0,"DONA"
28,8,000-010,3,003-005,0,"” and “L"
28,5,000-010,1,000-002,0,"PRAEC"
28,2,000-010,1,000-002,0,"VS"
28,7,000-010,1,000-002,0,"PONTIFI"
28,4,000-010,1,000-002,0,"ATYS"
28,1,000-010,1,000-002,0,"”"
29,168,151-175,32,031-035,0,"The reference to Atys made me shiver, for I had read Catullus and knew something of the hideous rites of the Eastern god, whose worship was so mixed with that of Cybele"
29,204,201-225,35,031-035,0,"Norrys and I, by the light of lanterns, tried to interpret the odd and nearly effaced designs on certain irregularly rectangular blocks of stone generally held to be altars, but could make nothing of them"
29,239,226-250,42,041-045,0.023809523809523808,"We remembered that one pattern, a sort of rayed sun, was held by students to imply a non-Roman origin, suggesting that these altars had merely been adopted by the Roman priests from some older and perhaps aboriginal temple on the same site"
29,66,076-010,13,011-015,0.23076923076923078,"On one of these blocks were some brown stains which made me wonder"
29,146,126-150,23,021-025,0.043478260869565216,"The largest, in the centre of the room, had certain features on the upper surface which indicated its connexion with fire—probably burnt offerings"
30,129,126-150,25,021-025,0.08,"Such were the sights in that crypt before whose door the cats had howled, and where Norrys and I now determined to pass the night"
30,169,151-175,30,026-030,-0.03333333333333333,"Couches were brought down by the servants, who were told not to mind any nocturnal actions of the cats, and Nigger-Man was admitted as much for help as for companionship"
30,194,176-200,31,031-035,0.12903225806451613,"We decided to keep the great oak door—a modern replica with slits for ventilation—tightly closed; and, with this attended to, we retired with lanterns still burning to await whatever might occur"
31,155,151-175,27,026-030,-0.1111111111111111,"The vault was very deep in the foundations of the priory, and undoubtedly far down on the face of the beetling limestone cliff overlooking the waste valley"
31,113,101-125,22,021-025,0,"That it had been the goal of the scuffling and unexplainable rats I could not doubt, though why, I could not tell"
31,159,151-175,28,026-030,0.07142857142857142,"As we lay there expectantly, I found my vigil occasionally mixed with half-formed dreams from which the uneasy motions of the cat across my feet would rouse me"
31,85,076-010,16,016-020,0.125,"These dreams were not wholesome, but horribly like the one I had had the night before"
31,230,226-250,38,036-040,0,"I saw again the twilit grotto, and the swineherd with his unmentionable fungous beasts wallowing in filth, and as I looked at these things they seemed nearer and more distinct—so distinct that I could almost observe their features"
31,123,101-125,22,021-025,-0.09090909090909091,"Then I did observe the flabby features of one of them—and awaked with such a scream that Nigger-Man started up, whilst Capt"
31,47,051-075,7,006-008,-0.14285714285714285,"Norrys, who had not slept, laughed considerably"
31,91,076-010,16,016-020,-0.0625,"Norrys might have laughed more—or perhaps less—had he known what it was that made me scream"
31,40,026-050,8,006-008,0,"But I did not remember myself till later"
31,56,051-075,9,009-010,0.2222222222222222,"Ultimate horror often paralyses memory in a merciful way"
32,40,026-050,7,006-008,0,"Norrys waked me when the phenomena began"
32,103,101-125,21,021-025,-0.047619047619047616,"Out of the same frightful dream I was called by his gentle shaking and his urging to listen to the cats"
32,343,more,60,056-060,-0.03333333333333333,"Indeed, there was much to listen to, for beyond the closed door at the head of the stone steps was a veritable nightmare of feline yelling and clawing, whilst Nigger-Man, unmindful of his kindred outside, was running excitedly around the bare stone walls, in which I heard the same babel of scurrying rats that had troubled me the night before"
33,99,076-010,17,016-020,-0.11764705882352941,"An acute terror now rose within me, for here were anomalies which nothing normal could well explain"
33,172,151-175,33,031-035,-0.030303030303030304,"These rats, if not the creatures of a madness which I shared with the cats alone, must be burrowing and sliding in Roman walls I had thought to be of solid limestone blocks"
33,143,126-150,23,021-025,0,"unless perhaps the action of water through more than seventeen centuries had eaten winding tunnels which rodent bodies had worn clear and ample"
33,128,126-150,23,021-025,0.043478260869565216,"But even so, the spectral horror was no less; for if these were living vermin why did not Norrys hear their disgusting commotion"
33,142,126-150,28,026-030,-0.07142857142857142,"Why did he urge me to watch Nigger-Man and listen to the cats outside, and why did he guess wildly and vaguely at what could have aroused them"
34,309,more,56,056-060,0.07142857142857142,"By the time I had managed to tell him, as rationally as I could, what I thought I was hearing, my ears gave me the last fading impression of the scurrying; which had retreated still downward, far underneath this deepest of sub-cellars till it seemed as if the whole cliff below were riddled with questing rats"
34,85,076-010,14,011-015,0.14285714285714285,"Norrys was not as sceptical as I had anticipated, but instead seemed profoundly moved"
